header,count
Activity,5143
Sequence analysis,3741
Structure,1142
In vitro toxicity,796
In vitro Toxicity,751
Chemical modification,678
Discovery,519
K,403
Antimicrobial robustness,390
MOA,338
SAR,327
R,267
L,250
Toxicity,230
Animal model,204
Recombinant production:bacteria,201
MOA:bacteria,159
Recombinant production:yeast,103
C,90
I,87
Warning,82
GRAVY,81
Peptide stability,80
V,77
Synergy,77
G,74
Mol formula,73
W,54
A,54
Resistance development:no,54
P,43
F,41
Peptide engineering,40
Surface immobilized peptides,37
Anti-inflammatory,35
Antibiofilm:bacteria,29
Recombinant production:plants,28
MOA:fungi,27
AMP Significance,25
In vivo toxicity,24
Clinical trials,24
Entry history,23
Resistance mechanism,23
Fungi,22
Mol Wt,21
Virus,21
Animal model:mouse,20
Resistance development:yes,20
Synergy:antibiotics,19
It contains one disulfide bond,19
Anticancer,18
Recombinant production,18
Peptide design,17
Antifungal,16
AMP significance,15
Peptide formulation,13
Antimicrobial activity,12
Peptide discovery,12
Immune modulation,11
Viruses,11
Derivatives,10
Antimalarial activity,9
H,9
Parasites,8
Host expression,8
Plant protection,8
History,8
Stability,7
Update,7
Peptide conjugate,7
in vitro toxicity,7
AMPs in use,7
Expression,7
Half-life in vitro:serum,7
Recombinant production:insects,7
Chemotactic,6
Updated,6
host protease cleavage,6
Therapeutic strategies,6
In vivo PK:mouse,6
Nomenclature,6
Antivirulence:bacteria,5
Derivative,5
in vitro Toxicity,5
In vivo toxicity:mouse,5
half-life in vitro:serum,5
Molecular form,5
S,5
Biofilms,5
AMP inactivation,5
Antiviral,5
MOA:virus,5
Food protection,4
Cancer,4
Gene Bank,4
Variant,4
Also inhibited biofilm formation:bacteria,4
In vivo PK,4
inhibited biofilm formation,4
DNA binding,4
Proinflammatory,4
k,4
Antivirus,4
Leu,4
disrupted biofilms,4
It contains three disulfide bonds,3
MOA:cancer,3
Natural variant,3
half-life in vitro:plasma,3
Peptide stability in serum,3
half-life in vitro,3
antimicrobial robustness,3
Antibiofilm,3
Animal model:cancer,3
APD update,3
Q,3
AMP significance and sleep,3
virus,3
Antivirulence,3
pI,3
pathogen cleavage,3
Puzzle,3
Animal model:fish,2
in vivo toxicity:plants,2
plant protection,2
Antimalarial,2
Discoveryy,2
Antibiofilms,2
T,2
AMP significance and human disease,2
It contains four disulfide bonds,2
Peptide synthesis,2
SARy,2
Chemical modifiction,2
Insecticidal activity,2
Toxicity mechanism,2
Three disulfide bridges,2
APD comment,2
Database analysis,2
MOA:Fungi,2
Also Recombinant production:bacteria,2
Naming,2
Organoid skin model,2
Half-life in vitro:plasma,2
Anti-inflmmatory,2
GeneBank,2
Half-life in vitro,2
Metal binding,2
UniProt,2
Purification,2
Antinociceptive Activity,2
Cytotoxicity,2
Additional peptide properties,2
updated,2
animal model,2
APD note,2
Antifungal activity,2
activity,2
Animal model:rat,2
Chemical modificationy,2
Structurey,2
It differs from AP1824 only at position 2,2
AMPs and human disease,2
toxicity,2
Disulfide bonds,2
Metal coordination,2
Antibiofilm:fungi,2
Inhibited biofilm formation and disrupted preformed biofilms,2
Killing kinetics,2
The orginal APD entry was replaced APD update,1
Struture,1
Animal model:insects,1
Other activity unproved peptides,1
Y,1
weak activity to cancer cells,1
moderate activity to cancer cells,1
NCTNCT01598311 Phase II,1
NCT01803035 Phase II,1
Anti-inflammatroy,1
Cancer cells,1
DNA retardation,1
Weak activity to cancer cells,1
NMR structure,1
Structurein D8PG,1
Variant 1,1
Varaint,1
It differs from AP1827 at two positions,1
It differs from AP1824 only at position 14,1
Recombinant production:nematode,1
Other uncharacterized peptides,1
systemic efficacy,1
First described by Quellette and Lualdi 1990 J Biol Chem 265,1
MIC,1
ACS Chem Biol 4,1
Important note,1
Narrow spectrum,1
animal model:mouse,1
Antifungal robustness,1
food protection,1
Food protection test,1
Alternative source,1
Gene duplication product,1
Optimal production condition,1
thermophilin 110,1
Food preservation,1
Variant 2,1
Salt,1
Synthetic derivatives,1
Antifunal,1
Bacteria,1
Functions,1
Regulation of expression,1
Chemical Modification,1
Identification,1
Anticancer assay,1
Amyloid AMPs,1
wound healing,1
It differs from AP1850 only at position 21,1
Pathogen infection tricks,1
Founding AMP,1
Structural characterization,1
There are extensive post-translational modifications,1
KAMP-18C,1
The amino acid sequeces of these fragments are below,1
Drug/AMPs in use,1
Salt-sensitive,1
AMP distribution in tissues,1
feed additive,1
bacteria engineering,1
Also,1
Structure was reported by Landon C et al 2006 Biopolymers 81,1
Natural pesticide,1
Antimicrobial susceptibility,1
VIruses,1
APD analysis,1
In vivo activity,1
nematocidal,1
UPdate,1
Antimicrobial Robustness,1
Proteases,1
BLIS,1
AP784,1
AP342,1
AP1178,1
AP2203,1
AP2334,1
AP840,1
AP1959,1
Antimicrobial conditions,1
Toxic effects on cancer and normal cells,1
molecular formula,1
Animal model:rabbit,1
NCT00509938,1
Link updated,1
Plant model,1
Peptide production,1
Metal binding:Cu,1
NMR Structure,1
Note,1
Design,1
Biology,1
Lee K 2004 Biochem Biophys Res Commun 323,1
KR-12 review,1
Inhibition zone experiment,1
half-life In vitro:serum,1
Other forms,1
Structure in lipid bilayer,1
Induced and constitutive expression,1
Patent,1
Chemical modofication,1
Seasonal expression,1
Production and purification,1
Inhibition zone,1
Feed additive,1
AP971,1
Other activities,1
Recombinant production:fungi,1
Complex structure,1
Post-translational chemical modification,1
Entry histoty,1
ReDiscovery,1
Chemical modifications,1
fungi,1
Channel inhibitor,1
UniProt P81467,1
UniProt P81466,1
UniProt P81465,1
UniProt P81468,1
Molecular formula,1
Strain activity screening,1
Innate evasion mechanism,1
NETs,1
Kinetics in serum,1
Carbohydrate binding,1
It only differs from Brevinin-2GHb at position 20,1
Serum effect,1
About this plant,1
Sequence similarity,1
It differs from Enterocin RM6 only at the N-terminal residue,1
Culture expression,1
Amyloid fibril formation,1
Peptide cleavage,1
Brevinin-1PMb and Brevinin-1PMc,1
established codon-optimised vector for expression in the methylotrophic yeast Pichia pastoris,1
E,1
Microdilution assays,1
Anticancer activity,1
There are two disulfide bonds,1
Only differs by one residue at position 4,1
Proposed function,1
It differs from Ec-AMP-D1 only at one amino acid at position 45,1
Peptide activity,1
Biological processing,1
APi134,1
AntiBiofilm:fungi,1
Resistance development,1
Application,1
SAR and peptide stability,1
Plant treatment,1
plant treatment,1
Microbiota regulation,1
parasites,1
Also showed cytotoxicity to cancer cells,1
peptide engineering tool,1
B differs from A only at two positions,1
Function,1
Lys,1
Sex-specific AMP,1
Three disuldie bonds,1
Biodistribution,1
Sperm,1
Binds LPS,1
NCT06189638,1
It inhibited formation of biofilms:bacteria,1
D,1
each,1
Binds LPS and anti-inflammatory,1
N,1
biofilms:fungi,1
Other predicted peptides,1
Biofilms:fungi,1
Protease inhibitor,1
Api162,1
Template-based design,1
Study questions,1
Clinical relevance,1
SwissProt ID,1
ATCC 6633 via adopting two strategies,1
Api161,1
APi155,1
AlphaFold predicted structure,1
Impact on microbiota,1
analog 2e,1
Inhibited biofilm formation:bacteria,1
antiBiofilms:bacteria,1
antiBiofilm:bacteria,1
AntiBiofilms:bacteria,1
peptide formulation,1
Disulfide bridge,1
animal model:cancer,1
Replaced,1
animal model:anti-toxin,1
APD Update,1
Enzyme inhibitor,1
naming,1
Nucleic acid delivery,1
AMP stability:serum,1
C11tBu/C18tBu thanatin,1
Clinical trials:topical,1
NaCl-insensitive,1
Animal model:frog,1
Antibiofilm B,1
in vivo toxicity:insects,1
toxicity:insects,1
Synergy:AMPs,1
Antibiofim:fungi,1
predicted structure,1
mol ex coeff,1
History and discovery,1
GenBank accession number,1
